First Allele, Second Allele
PHN11_OH43_0215,PB80
MOG_MO45-055-1-1-1-1-B,PB80
MOG_NC230-009-1-1-1-1-B,PB80
MOG_NC230-007-1-1-1-1-B,PB80
MOG_MO45-030-1-1-1-1-B,PB80
MOG_MO45-128-1-1-1-1-B,PB80
MOG_LH123HT-199-1-1-1-1-B,PB80
MOG_NC230-028-1-1-1-1-B,PB80
MOG_PHG83-069-1-1-1-1-B,PB80
B73_NC230-128-1-1-1-1,PB80
MOG_PHG83-224-1-1-1-1-B,PB80
MOG_NC230-008-1-1-1-1-B,PB80
MOG_MO45-078-1-1-1-1-B,PB80
MOG_PHG83-197-1-1-1-1-B,PB80
PHN11_PHW65_0237,PB80
MOG_NC230-011-1-1-1-1-B,PB80
PHN11_PHW65_0328,PB80
B73_NC230-041-1-1-1-1,PB80
MOG_LH145_0163,PB80
MOG_NC230-010-1-1-1-1-B,PB80
MOG_OH43_0179,PB80
MOG_MO45-071-1-1-1-1-B,PB80
PHW65_MOG_0029,PB80
MOG_PHG83-090-1-1-1-1-B,PB80
MOG_NC230-043-1-1-1-1-B,PB80
PHN11_OH43_0075,PB80
PHN11_PHG47_0390,PB80
B73_NC230-127-1-1-1-1,PB80
PHN11_OH43_0045,PB80
MOG_MO45-045-1-1-1-1-B,PB80
PHN11_OH43_0142,PB80
MO44_LH145_0107,PB80
PHW65_MOG_0311,PB80
MO44_LH145_0081,PB80
PHN11_PHW65_0275,PB80
MOG_MO45-074-1-1-1-1-B,PB80
MOG_LH145_0175,PB80
MOG_OH43_0402,PB80
MOG_LH145_0173,PB80
PHW65_MOG_0176,PB80
PHN11_PHW65_0359,PB80
MOG_MO45-054-1-1-1-1-B,PB80
MOG_LH145_0131,PB80
MOG_MO45-139-1-1-1-1-B,PB80
MOG_OH43_0300,PB80
MOG_LH123HT-059-1-1-1-1-B,PB80
MOG_MO45-085-1-1-1-1-B,PB80
MOG_LH123HT-019-1-1-1-1-B,PB80
MOG_PHG83-129-1-1-1-1-B,PB80
Z013E0046,PB80
Z013E0026,PB80
Z013E0066,PB80
Z013E0044,PB80
Z013E0078,PB80
Z013E0087,PB80
Z013E0032,PB80
Z013E0021,PB80
Z013E0074,PB80
Z013E0027,PB80
Z013E0111,PB80
Z013E0058,PB80
Z013E0006,PB80
Z013E0022,PB80
Z013E0009,PB80
Z013E0037,PB80
Z013E0062,PB80
Z013E0007,PB80
Z013E0012,PB80
Z013E0042,PB80
Z013E0069,PB80
Z013E0003,PB80
W10005_0111,PB80
(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6,PB80
PHV63,PB80
TX303,PB80
LH59,PB80
LH57,PB80
LH212HT,PB80
W10004_0097,PB80
LH38,PB80
LH51,PB80
LH162,PB80
???TX205,PB80
PHV63,PB80
PHB47,PB80
Z022E0009,PB80
Z022E0050,PB80
Z022E0110,PB80
Z022E0155,PB80
Z022E0083,PB80
Z022E0072,PB80
Z022E0059,PB80
Z022E0108,PB80
Z022E0016,PB80
Z022E0121,PB80
Z022E0006,PB80
Z022E0051,PB80
Z022E0147,PB80
Z022E0029,PB80
Z022E0060,PB80
Z022E0023,PB80
Z022E0036,PB80
Z022E0094,PB80
Z022E0123,PB80
MOG_PHG83-119-1-1-1-1-B,LH195
PHN11_OH43_0215,LH195
PHN11_PHW65_0323,LH195
MO44_LH145_0143,LH195
PHN11_PHW65_0065,LH195
B73_NC230-129-1-1-1-1,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_PHG47_0048,LH195
MOG_MO45-030-1-1-1-1-B,LH195
B73_NC230-032-1-1-1-1,LH195
PHN11_LH145_0028,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
MO44_LH145_0127,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0275,LH195
MOG_LH145_0162,LH195
MOG_MO45-071-1-1-1-1-B,LH195
PHN11_PHW65_0294,LH195
MOG_MO45-074-1-1-1-1-B,LH195
PHN11_PHW65_0237,LH195
MOG_MO45-085-1-1-1-1-B,LH195
PHN11_OH43_0142,LH195
MO44_LH145_0138,LH195
MOG_PHG83-069-1-1-1-1-B,LH195
MOG_LH145_0131,LH195
PHN11_PHG47_0172,LH195
PHN11_PHW65_0101,LH195
PHN11_PHW65_0015,LH195
PHW65_MOG_0012,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
MOG_MO45-054-1-1-1-1-B,LH195
PHN11_PHG47_0388,LH195
B73_NC230-126-1-1-1-1,LH195
MOG_LH145_0163,LH195
PHN11_PHG47_0251,LH195
PHN11_PHW65_0328,LH195
PHW65_MOG_0029,LH195
PHN11_PHW65_0312,LH195
PHN11_PHG47_0287,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
MOG_MO45-055-1-1-1-1-B,LH195
PHW65_MOG_0176,LH195
B73_NC230-128-1-1-1-1,LH195
B73_NC230-041-1-1-1-1,LH195
MOG_OH43_0300,LH195
LH82,LH198
B73,PHG35
LH74,TX205
PHG39,PHG35
PHW52,PHM49
LH74,PHG35
B73,MO17
LH162,CG60
LH74,PHN82
B73,TX205
WF9,H95
LH74,PHM49
LH195,REDEAR-B
LH82,CG60
LH198,CGR01
PHW52,PHN82
B73,PHN82
LH82,CGR01
PHW52,PHG35
PHG39,PHN82
B73,PHM49
B37,H95
B37,C103
LH132,LH51
PHG39,PHM49
PHN11_PHW65_0359,LH195
B73_NC230-041-1-1-1-1,LH195
PHN11_PHW65_0101,LH195
PHN11_PHW65_0015,LH195
PHN11_PHG47_0048,LH195
MOG_MO45-071-1-1-1-1-B,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_LH145_0131,LH195
PHN11_PHW65_0328,LH195
PHN11_PHW65_0237,LH195
MOG_OH43_0300,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
MOG_MO45-030-1-1-1-1-B,LH195
PHN11_PHG47_0388,LH195
MOG_PHG83-119-1-1-1-1-B,LH195
MO44_LH145_0138,LH195
PHN11_PHW65_0275,LH195
PHN11_OH43_0142,LH195
MO44_LH145_0143,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_PHG47_0251,LH195
B73_NC230-126-1-1-1-1,LH195
PHN11_PHG47_0172,LH195
MO44_LH145_0127,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
B73_NC230-032-1-1-1-1,LH195
PHW65_MOG_0029,LH195
