First Allele, Second Allele, Yield Rate [bu/Ad],Grain yield [bu/A]
MOG_PHG83-090-1-1-1-1-B,LH195,1.49244162,219.3889181
PHN11_PHW65_0312,LH195,1.482090742,217.8673391
M0007,LH195,1.21874602,179.155665
M0033,LH195,1.691839782,248.7004479
M0099,LH195,0.787500052,115.7625077
M0066,LH195,1.287875329,189.3176734
M0325,LH195,1.055488212,155.1567672
M0317,LH195,1.589480288,233.6536023
M0039,LH195,1.302887514,191.5244645
M0001,LH195,1.300016331,191.1024006
M0058,LH195,1.13949569,167.5058664
M0057,LH195,1.469830345,216.0650607
M0321,LH195,1.769816557,260.1630339
M0015,LH195,1.371572541,201.6211635
M0143,LH195,1.098196142,161.4348329
M0326,LH195,1.351377608,198.6525084
M0164,LH195,1.42578632,209.590589
M0382,LH195,0.917071211,134.809468
M0010,LH195,1.205589749,177.2216931
M0154,LH195,1.896881218,278.841539
Z013E0044,LH195,0.94043541,138.2440053
Z013E0022,LH195,1.546354879,227.3141672
Z013E0074,LH195,0.957397724,140.7374655
Z013E0088,LH195,1.25249521,184.1167959
Z013E0062,LH195,1.440182844,211.7068781
Z013E0012,LH195,1.19745622,176.0260644
Z013E0046,LH195,1.330445995,195.5755613
Z013E0019,LH195,1.223740335,179.8898292
Z013E0026,LH195,1.438681869,211.4862348
Z013E0037,LH195,1.068006894,156.9970134
Z013E0027,LH195,1.759215517,258.604681
Z013E0021,LH195,1.426315884,209.668435
Z013E0047,LH195,1.041541655,153.1066233
LH82,LH198,1.138376456,167.3413391
LH132,LH51,1.464230117,215.2418272
PHG39,PHN82,0.910761919,133.8820021
B73,MO17,1.291540047,189.8563869
LH82,CGR01,1.660040721,244.025986
PHW52,PHM49,1.013776871,149.0252
B73,PHN82,1.488235967,218.7706871
LH74,PHN82,1.386695999,203.8443118
B37,OH43,1.396812959,205.3315049
B73,PHG35,1.030307086,151.4551417
PHG39,PHM49,1.449642722,213.0974801
PHW52,PHG35,0.777385529,114.2756728
PHG39,PHG35,1.415561335,208.0875163
LH82,CG60,1.27496922,187.4204754
PHW52,TX205,1.720833448,252.9625169
LH74,PHG35,1.024161862,150.5517937
PHG39,TX205,1.669629741,245.4355719
LH195,REDEAR-B,1.350614125,198.5402764
B73,TX205,1.143980746,168.1651696
B37,MO17,1.546572552,227.3461652
LH74,TX205,1.229147255,180.6846465
LH74,PHM49,0.556834832,81.85472037
PHW52,PHN82,1.112248287,163.5004982
LH198,CGR01,1.365665296,200.7527985
LH162,CG60,1.426381674,209.6781061
B73,PHM49,1.471779663,216.3516104
Z022E0121,LH195,1.473586843,216.6172659
Z022E0110,LH195,1.245800928,183.1327364
Z022E0108,LH195,1.302833907,191.5165844
Z022E0095,LH195,1.31059138,192.6569329
Z022E0073,LH195,1.296926662,190.6482193
Z022E0048,LH195,0.980776544,144.1741519
Z022E0077,LH195,1.362418869,200.2755738
Z022E0017,LH195,1.641922624,241.3626257
Z022E0155,LH195,1.181858429,173.733189
Z022E0097,LH195,1.093599813,160.7591725
Z013E0093,LH185,1.858240865,273.1614071
Z013E0059,LH185,1.180009825,173.4614443
Z013E0067,LH185,1.372368512,201.7381713
Z013E0090,LH185,1.394615915,205.0085395
Z013E0046,LH185,1.441078718,211.8385716
Z013E0022,LH185,1.197621912,176.0504211
Z013E0079,LH185,1.743075165,256.2320492
Z013E0032,LH185,0.968492592,142.368411
Z013E0056,LH185,1.343762273,197.5330541
Z013E0073,LH185,1.153624184,169.582755
Z013E0080,LH185,1.146003163,168.4624649
Z013E0052,LH185,0.959600454,141.0612667
Z013E0036,LH185,1.223270062,179.8206991
Z013E0072,LH185,1.132789224,166.520016
Z013E0020,LH185,1.443937718,212.2588446
Z013E0002,LH185,1.689311354,248.328769
Z013E0082,LH185,1.25540944,184.5451877
Z013E0045,LH185,1.279220358,188.0453926
